CC;European.list.coalition;alternative;national party;votes;comment;seats
HR;none;no alternative;Bandić Milan 365 - Stranka rada i solidarnosti;21175;;0
HR;none;no alternative;Možemo! - Politica Platforma / Nova ljevica / Održivi razvoj Hrvatske;19313;;0
HR;RENEW;ALDE;Pametno / Unija Kvarnera;15074;;0
HR;RENEW;EDP;Reformisti;9971;;0
HR;none;no alternative;Zelena lista;5972;;0
HR;RENEW;ALDE;HSLS;5876;;0
HR;none;no alternative;Hrvatska demokratska stranka;5610;;0
HR;none;no alternative;A - HSP;4391;;0
HR;none;no alternative;Blokirani;3981;;0
HR;none;no alternative;Snaga;3683;;0
HR;none;no alternative;HDS;3651;;0
HR;none;no alternative;RF–SRP;2622;;0
HR;none;no alternative;Pokret za modernu hrvatsku;2581;;0
HR;none;no alternative;DSS;2036;;0
HR;none;no alternative;HBPS;1588;;0
HR;none;no alternative;MVH;1168;;0
HR;none;no alternative;ZSZ;1128;;0
HR;none;no alternative;SH;1021;;0
HR;none;no alternative;SHZ;944;;0
HR;none;no alternative;HSR;733;;0
HR;none;no alternative;SSH;513;;0
IE;EPP;no alternative;Fine Gael;496459;;5
IE;RENEW;ALDE;Fianna Fáil;277705;;2
IE;Greens;EGP;Green;190755;;2
IE;Left;no alternative;Inds. 4 Change;124085;;2
IE;Left;no alternative;Sinn Féin;196001;;1
IE;PES;no alternative;Labour;52753;;0
IE;none;no alternative;PBP–SolIDarity;38771;;0
IE;none;no alternative;Social Democrats;20331;;0
IE;none;no alternative;Renua ;6897;;0
IE;INITIATIVE;no alternative;Workers' Party;3701;;0
IE;none;no alternative;Identity Ireland;3685;;0
IE;none;no alternative;Direct Democracy;2773;;0
IE;indipendents;no alternative;Independents (IE);264087;;1
LT;EPP;no alternative;Tėvynės sąjunga – Lietuvos krikščionys demokratai ;248736;;3
LT;PES;no alternative;Lietuvos socialdemokratų partija;200105;;2
LT;Greens;no alternative;Lietuvos valstiečių ir žaliųjų sąjunga;158190;;2
LT;RENEW;ALDE;Darbo partija;113243;;1
LT;RENEW;ALDE;Lietuvos Respublikos liberalų sąjūdis;83083;;1
LT;EPP;no alternative;Visuomeninis rinkimų komitetas „Aušros Maldeikienės traukinys“;82005;;1
LT;ECR;no alternative;Krikščioniškų šeimų sąjungos ir Rusų aljanso koalicija – „Valdemaro Tomaševskio blokas“;69347;;1
LT;none;no alternative;Lietuvos centro partija;64595;;0
LT;none;no alternative;Visuomeninis rinkimų komitetas „Prezidento Rolando Pakso judėjimas“;50410;;0
LT;none;no alternative;Visuomeninis rinkimų komitetas „Vytautas Radžvilas: susigrąžinkime valstybę!“;42228;;0
LT;none;no alternative;Tvarka ir teisingumas;34442;;0
LT;none;no alternative;Lietuvos socialdemokratų darbo partija;29706;;0
LT;Greens;EGP;Lietuvos žaliųjų partija;28562;;0
LT;none;no alternative;Lietuvos laisvės sąjunga (liberalai);24143;;0
LT;none;no alternative;Visuomeninis rinkimų komitetas „Stipri Lietuva vieningoje Europoje“;16850;;0
LT;none;no alternative;Visuomeninis rinkimų komitetas „Lemiamas šuolis“;14309;;0
LV;EPP;no alternative;Vienotība;124193;;2
LV;PES;no alternative;Sociāldemokrātiskā partija „Saskaņa“;82604;;2
LV;ECR;no alternative;Nacionālā apvienība „Visu Latvijai!“ – „Tēvzemei un Brīvībai/LNNK“;77591;;2
LV;RENEW;no alternative;Attīstībai/Par!;58763;;1
LV;Greens;EFA;Latvijas Krievu savienība;29546;;1
LV;none;no alternative;Zaļo un Zemnieku savienība;25252;;0
LV;ECR;no alternative;Latvijas Reģionu apvienība;23581;;0
LV;none;no alternative;Jaunā konservatīvā partija;20595;;0
LV;Greens;EGP;Progresīvie;13705;;0
LV;none;no alternative;Politiskā partija KPV LV;4362;;0
LV;none;no alternative;Latviešu Nacionālisti;3172;;0
LV;none;no alternative;Centra partija;2312;;0
LV;ECPM;no alternative;Atmoda;2242;;0
LV;PES;no alternative;Latvijas Sociāldemokrātiskā Strādnieku partija;922;;0
LV;none;no alternative;Jaunā Saskaņa;829;;0
LV;none;no alternative;Rīcības partija;791;;0
SI;EPP;no alternative;Slovenska demokratska stranka in Slovenska ljudska stranka;126534;;3
SI;PES;no alternative;Socialni demokrati;89936;;2
SI;RENEW;ALDE;Lista Marjana Šarca;74431;;2
SI;EPP;no alternative;Nova Slovenija;53621;;1
SI;Left;no alternative;Levica;30983;;0
SI;RENEW;EDP;Demokratična stranka upokojencev Slovenije;27329;;0
SI;RENEW;ALDE;Stranka Alenke Bratušek;19369;;0
SI;none;no alternative;Slovenska nacionalna stranka;19347;;0
SI;none;no alternative;Zeleni Slovenije;10706;;0
SI;none;no alternative;Domovinska liga;8184;;0
SI;none;no alternative;Povežimo se;7980;;0
SI;RENEW;ALDE;Stranka modernega centra;7823;;0
SI;none;no alternative;Gibanje Zedinjena Slovenija;3288;;0
SI;none;no alternative;Dobra država;2544;;0
CY;EPP;no alternative;Δημοκρατικός Συναγερμός (ΔΗΣΥ);81539;;2
CY;Left;no alternative;Ανορθωτικό Κόμμα Εργαζόμενου Λαού (ΑΚΕΛ);77241;;2
CY;none;no alternative;Δημοκρατικό Κόμμα (ΔΗΚΟ);38756;;1
CY;PES;no alternative;Κίνημα Σοσιαλδημοκρατών-Ε.Δ.Ε.Κ. (ΕΔΕΚ);29715;;1
CY;none;no alternative;Εθνικό Λαϊκό Μέτωπο;23167;;0
CY;RENEW;ALDE;Δημοκρατική Παράταξη;10673;;0
CY;Greens;EGP;Συμμαχία Πολιτών-Οικολόγοι;9232;;0
CY;none;no alternative;Κίνημα Γιασεμί;4786;;0
CY;APEU;no alternative;Κόμμα για τα ζώα;2208;;0
CY;none;no alternative;Πατριωτικό Κίνημα;607;;0
CY;none;no alternative;Εθνικιστικό Απελευθερωτικό Κίνημα;569;;0
CY;none;no alternative;Οργάνωση Αγωνιστών Δικαιοσύνης;457;;0
CY;none;no alternative;Σοσιαλιστικό Κόμμα Κύπρου;170;;0
CY;indipendents;no alternative;Μιχάλης Παρασκευά;1305;;0
CY;indipendents;no alternative;Χάρης Αριστείδου;276;;0
CY;indipendents;no alternative;Χρύσανθος Μαρδαπήττας;234;;0
EE;RENEW;ALDE;Eesti Reformierakond;87160;;2
EE;PES;no alternative;Sotsiaaldemokraatlik Erakond;77375;;2
EE;RENEW;ALDE;Eesti Keskerakond;47799;;1
EE;ID;no alternative;Eesti Konservatiivne Rahvaerakond;42265;;1
EE;EPP;no alternative;Isamaa Erakond;34188;;1
EE;none;no alternative;Erakond Eesti 200;10700;;0
EE;Greens;EGP;Erakond Eestimaa Rohelised;5824;;0
EE;none;no alternative;Elurikkuse Erakond;2951;;0
EE;Left;no alternative;Eestimaa Ühendatud Vasakpartei;221;;0
EE;indipendents;no alternative;Raimond Kaljulaid;20640;;0
EE;indipendents;no alternative;Erik Orgu;1442;;0
EE;indipendents;no alternative;Harry Raudvere;880;;0
EE;indipendents;no alternative;Maria Kaljuste;604;;0
EE;indipendents;no alternative;Argo Mõttus;55;;0
LU;RENEW;ALDE;Demokratesch Partei;44818;268910;2
LU;EPP;no alternative;Chrëschtlech-Sozial Vollekspartei;44111;264665;2
LU;Greens;EGP;Déi Gréng;39536;237215;1
LU;PES;no alternative;Lëtzebuerger Sozialistesch Aarbechterpartei;25483;152900;1
LU;ECR;no alternative;Alternativ Demokratesch Reformpartei;20998;125988;0
LU;Greens;EUPP;Piratepartei Lëtzebuerg;16096;96579;0
LU;Left;no alternative;Déi Lénk;10108;60648;0
LU;Greens;VOLT;Volt Lëtzebuerg;4414;26483;0
LU;none;no alternative;Kommunistesch Partei Lëtzebuerg;2387;14323;0
LU;none;no alternative;Déi Konservativ;1109;6652;0
MT;PES;no alternative;Partit Laburista;141267;;4
MT;EPP;no alternative;Partit Nazzjonalista;98611;;2
MT;none;no alternative;Imperium Europa;8238;;0
MT;RENEW;ALDE;Partit Demokratiku;5276;;0
MT;Greens;EGP;Alternattiva Demokratika;1866;;0
MT;ECPM;no alternative;Alleanza Bidla;1186;;0
MT;none;no alternative;Moviment Patrijotti Maltin;771;;0
MT;none;no alternative;Brain, Not Ego;323;;0
MT;indipendents;no alternative;Independents (MT);2674;;0
